[17/02/2023 01:40:42] - В чайнике теперь 0.1 литров.
[17/02/2023 01:40:42] - Температура воды в чайнике 26.588235294117645
[17/02/2023 01:40:43] - Температура воды в чайнике 31.17647058823529
[17/02/2023 01:40:44] - Температура воды в чайнике 35.764705882352935
[17/02/2023 01:40:45] - Температура воды в чайнике 40.35294117647058
[17/02/2023 01:40:46] - Температура воды в чайнике 44.941176470588225
[17/02/2023 01:40:47] - Температура воды в чайнике 49.52941176470587
[17/02/2023 01:40:48] - Температура воды в чайнике 54.117647058823515
[17/02/2023 01:40:49] - Температура воды в чайнике 58.70588235294116
[17/02/2023 01:40:50] - Температура воды в чайнике 63.294117647058805
[17/02/2023 01:40:51] - Температура воды в чайнике 67.88235294117645
[17/02/2023 01:40:52] - Температура воды в чайнике 72.4705882352941
[17/02/2023 01:40:53] - Температура воды в чайнике 77.05882352941175
[17/02/2023 01:40:54] - Температура воды в чайнике 81.6470588235294
[17/02/2023 01:40:55] - Температура воды в чайнике 86.23529411764706
[17/02/2023 01:40:56] - Температура воды в чайнике 90.82352941176471
[17/02/2023 01:40:57] - Температура воды в чайнике 95.41176470588236
[17/02/2023 01:40:58] - Температура воды в чайнике 100.00000000000001
[17/02/2023 01:40:59] - Чайник кипит.
[17/02/2023 01:41:09] - Чайник выключен
